,source,scenario (PRIMAP-hist),area (ISO3),entity,unit,category (IPCC2006_PRIMAP),1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
16,PRIMAP-hist_v2.3.1,HISTCR,ABW,CO2,Gg CO2 / yr,M.0.EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,1250.0,1230.0,3230.0,4050.0,4960.0,4220.0,4100.0,4370.0,4870.0,5620.0,6010.0,7260.0,7790.0,7330.0,6070.0,7500.0,4370.0,7050.0,8840.0,10300.0,11300.0,12400.0,12700.0,6740.0,820.0,1290.0,747.0,865.0,1750.0,1450.0,1870.0,1280.0,1120.0,1440.0,1240.0,1290.0,1420.0,1360.0,1320.0,1190.0,1110.0,1370.0,1270.0,1660.0,1860.0,1620.0,1570.0,1740.0,1580.0,1140.0,2440.0,1280.0,1090.0,1140.0,1170.0,1120.0,1250.0,644.0,1600.0,1880.0,182.0,449.0,615.0,652.0,490.0,535.0,542.0,652.0,663.0,711.0,729.0,763.0,810.0,814.0,2380.0,2410.0,2440.0,2570.0,2620.0,2730.0,2720.0,2830.0,2660.0,2630.0,2510.0,2500.0,1350.0,866.0,877.0,903.0,888.0,936.0,966.0,999.0
74,PRIMAP-hist_v2.3.1,HISTCR,AFG,CO2,Gg CO2 / yr,M.0.EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,18.9,116.0,122.0,127.0,137.0,147.0,206.0,248.0,402.0,454.0,524.0,570.0,668.0,931.0,958.0,1140.0,1370.0,1480.0,1780.0,1730.0,1310.0,1860.0,2080.0,1730.0,1810.0,2120.0,2330.0,2260.0,2660.0,2410.0,2480.0,2010.0,2230.0,2360.0,2780.0,3090.0,3780.0,3390.0,3360.0,3090.0,2980.0,2810.0,2640.0,1590.0,1520.0,1440.0,1370.0,1290.0,1210.0,1150.0,935.0,921.0,964.0,1240.0,1380.0,1080.0,1500.0,1840.0,2470.0,4420.0,6970.0,8650.0,12400.0,10500.0,8830.0,8140.0,8230.0,7100.0,6860.0,7060.0,9780.0
132,PRIMAP-hist_v2.3.1,HISTCR,AGO,CO2,Gg CO2 / yr,M.0.EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,807.0,995.0,951.0,1240.0,1430.0,1940.0,2230.0,2160.0,2240.0,1700.0,1470.0,4430.0,4450.0,4500.0,4340.0,5660.0,3420.0,5940.0,10200.0,9220.0,8680.0,10600.0,11800.0,12100.0,11200.0,7430.0,11800.0,14500.0,14600.0,14400.0,13700.0,13000.0,13700.0,13800.0,13600.0,13600.0,15000.0,14300.0,14200.0,10800.0,11200.0,11600.0,12000.0,9620.0,18600.0,19600.0,16600.0,17200.0,18100.0,16700.0,16600.0,16700.0,18400.0,16600.0,15800.0,17500.0,18000.0,19200.0,21100.0,23500.0,24700.0,26500.0,26300.0,38000.0,29100.0,30300.0,29600.0,27600.0,27000.0
188,PRIMAP-hist_v2.3.1,HISTCR,AIA,CO2,Gg CO2 / yr,M.0.EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.8,30.0,30.7,32.4,40.4,41.0,44.0,47.5,47.1,45.6,46.3,48.7,49.6,51.1,57.0,57.4,50.2,48.1,51.0,47.9,46.8,48.9,49.0,51.6,51.3,51.3,55.0,66.0,66.0,66.0,69.7,69.7,77.0,80.7,88.0,95.3,95.3,103.0,122.0,129.0,144.0,151.0,151.0,147.0,151.0,143.0,143.0,118.0,140.0,154.0,154.0,143.0,148.0,153.0
234,PRIMAP-hist_v2.3.1,HISTCR,ALB,CO2,Gg CO2 / yr,M.0.EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,3.39,8.47,63.4,145.0,161.0,200.0,320.0,298.0,344.0,213.0,71.1,56.6,234.0,445.0,344.0,500.0,169.0,232.0,223.0,257.0,322.0,450.0,573.0,956.0,812.0,973.0,1310.0,1490.0,1630.0,1400.0,1400.0,1550.0,1830.0,2000.0,2330.0,2530.0,2770.0,2990.0,3670.0,3510.0,3300.0,3190.0,3380.0,3840.0,4130.0,4690.0,3760.0,4560.0,4560.0,4720.0,4860.0,4890.0,5000.0,4620.0,4470.0,5200.0,4270.0,6050.0,4030.0,3920.0,4200.0,4080.0,3990.0,4150.0,4890.0,5230.0,3550.0,4270.0,4380.0,4700.0,5040.0,4540.0,5030.0,5480.0,5610.0,6010.0,5900.0,6660.0,6390.0,6590.0,7300.0,6220.0,6210.0,7160.0,6670.0,7090.0
305,PRIMAP-hist_v2.3.1,HISTCR,AND,CO2,Gg CO2 / yr,M.0.EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,264.0,286.0,321.0,321.0,307.0,346.0,342.0,365.0,381.0,378.0,351.0,347.0,346.0,350.0,353.0,355.0,360.0,372.0,402.0,409.0,417.0,426.0,436.0,439.0,466.0,496.0,508.0,534.0,557.0,568.0,568.0,574.0,577.0,601.0,616.0,584.0,579.0,579.0,554.0,556.0,525.0,523.0,512.0,497.0,497.0,504.0,506.0,494.0,470.0
388,PRIMAP-hist_v2.3.1,HISTCR,ANNEXI,CO2,Gg CO2 / yr,M.0.EL,337.0,9720.0,9720.0,9720.0,9730.0,9730.0,10400.0,10400.0,10400.0,10400.0,10400.0,11400.0,11400.0,11400.0,11400.0,11400.0,12700.0,12700.0,12700.0,12700.0,12700.0,14100.0,14100.0,14100.0,14100.0,14100.0,15600.0,15700.0,15700.0,15800.0,15800.0,17700.0,17800.0,17900.0,17900.0,18000.0,20500.0,20500.0,20600.0,20700.0,20800.0,23200.0,23800.0,23900.0,24000.0,24100.0,25300.0,26600.0,27700.0,29200.0,31000.0,31000.0,38500.0,40900.0,41900.0,42900.0,44600.0,46600.0,44800.0,44800.0,45200.0,47500.0,49000.0,49200.0,50200.0,51600.0,56000.0,57900.0,58100.0,58200.0,59100.0,59800.0,61900.0,65100.0,67100.0,69500.0,70200.0,75000.0,75700.0,75400.0,93300.0,88400.0,89000.0,90800.0,92800.0,94900.0,110000.0,110000.0,114000.0,117000.0,125000.0,129000.0,137000.0,140000.0,149000.0,164000.0,167000.0,183000.0,184000.0,194000.0,208000.0,211000.0,221000.0,231000.0,272000.0,277000.0,296000.0,299000.0,303000.0,321000.0,352000.0,371000.0,378000.0,402000.0,433000.0,460000.0,474000.0,509000.0,523000.0,555000.0,567000.0,603000.0,668000.0,709000.0,664000.0,721000.0,732000.0,746000.0,749000.0,803000.0,912000.0,939000.0,993000.0,1060000.0,1070000.0,1080000.0,1090000.0,1150000.0,1270000.0,1270000.0,1380000.0,1450000.0,1460000.0,1440000.0,1490000.0,1570000.0,1620000.0,1700000.0,1790000.0,1960000.0,2070000.0,2130000.0,2180000.0,2370000.0,2390000.0,2550000.0,2660000.0,3010000.0,2890000.0,3000000.0,3150000.0,3190000.0,3360000.0,3630000.0,3290000.0,3230000.0,3470000.0,3600000.0,3550000.0,3040000.0,3520000.0,3040000.0,3210000.0,3670000.0,3680000.0,3730000.0,3670000.0,4040000.0,4010000.0,4310000.0,3950000.0,3520000.0,3150000.0,3310000.0,3580000.0,3740000.0,4120000.0,4400000.0,4100000.0,4340000.0,4690000.0,4810000.0,4880000.0,5030000.0,4950000.0,4080000.0,4450000.0,5020000.0,5340000.0,5100000.0,5660000.0,6070000.0,6100000.0,6280000.0,6370000.0,6950000.0,7380000.0,7560000.0,7510000.0,7740000.0,8120000.0,8330000.0,8750000.0,9290000.0,9760000.0,10200000.0,10600000.0,11000000.0,11500000.0,12200000.0,12900000.0,13100000.0,13700000.0,14300000.0,14100000.0,13800000.0,14500000.0,14700000.0,15100000.0,15400000.0,15200000.0,14700000.0,14200000.0,14200000.0,14600000.0,14900000.0,14900000.0,15100000.0,15600000.0,15700000.0,15300000.0,14900000.0,14500000.0,14300000.0,14100000.0,14200000.0,14500000.0,14400000.0,14400000.0,14400000.0,14700000.0,14700000.0,14700000.0,15000000.0,15100000.0,15200000.0,15200000.0,15300000.0,14900000.0,13900000.0,14300000.0,14200000.0,14000000.0,14000000.0,13800000.0,13600000.0,13500000.0,13500000.0,13600000.0,13300000.0
465,PRIMAP-hist_v2.3.1,HISTCR,ANT,CO2,Gg CO2 / yr,M.0.EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7720.0,9950.0,9800.0,25700.0,32200.0,39400.0,33600.0,32600.0,34800.0,38700.0,44700.0,47800.0,57800.0,61900.0,58300.0,48200.0,59600.0,34700.0,56100.0,70300.0,81600.0,89700.0,98700.0,101000.0,53200.0,5820.0,9160.0,5300.0,6140.0,12400.0,10300.0,13300.0,10200.0,8900.0,11500.0,9850.0,10300.0,11300.0,10800.0,10500.0,9440.0,8820.0,10900.0,10100.0,13200.0,14800.0,12900.0,12500.0,13900.0,12600.0,9100.0,19400.0,10100.0,8640.0,9070.0,9330.0,8890.0,9940.0,5110.0,12800.0,14900.0,3040.0,2710.0,2670.0,5070.0,5430.0,4340.0,3590.0,5550.0,5320.0,5270.0,4930.0,5160.0,328.0,2160.0,5660.0,5770.0,5560.0,5570.0,5840.0,5790.0,6030.0,6790.0,6530.0,6680.0,4620.0,5880.0,6970.0,6180.0,6860.0,7380.0,6530.0,6320.0,6520.0,6750.0
523,PRIMAP-hist_v2.3.1,HISTCR,AOSIS,CO2,Gg CO2 / yr,M.0.EL,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.12,1.12,1.12,1.12,1.19,1.26,1.33,1.4,1.47,1.55,1.62,1.69,1.76,1.83,1.84,1.84,1.85,1.85,1.86,1.87,1.87,1.88,1.89,1.89,1.92,1.94,1.97,1.99,2.01,2.04,2.06,2.09,2.11,2.14,2.14,2.15,2.16,2.17,2.18,2.19,2.19,2.2,2.21,2.22,2.22,2.22,2.46,2.46,2.67,2.74,2.94,3.13,2.9,2.94,37.6,72.8,112.0,152.0,152.0,152.0,153.0,153.0,189.0,239.0,307.0,389.0,425.0,500.0,554.0,645.0,768.0,1020.0,908.0,1140.0,1280.0,1270.0,1510.0,1970.0,9990.0,12200.0,12200.0,29300.0,36200.0,43500.0,37000.0,36200.0,39300.0,43900.0,50200.0,54000.0,65500.0,70800.0,68300.0,59500.0,70200.0,46100.0,67100.0,81800.0,93300.0,101000.0,112000.0,114000.0,69500.0,17400.0,22600.0,19600.0,20800.0,27100.0,26500.0,29300.0,33200.0,37100.0,37400.0,32900.0,35800.0,42800.0,35700.0,41600.0,41800.0,40400.0,46900.0,48600.0,55100.0,69000.0,72000.0,78100.0,86400.0,84800.0,88200.0,105000.0,101000.0,103000.0,108000.0,106000.0,98200.0,100000.0,93000.0,102000.0,108000.0,95300.0,97700.0,100000.0,111000.0,112000.0,109000.0,105000.0,108000.0,116000.0,118000.0,130000.0,136000.0,135000.0,143000.0,155000.0,160000.0,161000.0,168000.0,166000.0,165000.0,180000.0,188000.0,196000.0,218000.0,200000.0,180000.0,198000.0,203000.0,205000.0,220000.0,200000.0,197000.0,197000.0,204000.0
600,PRIMAP-hist_v2.3.1,HISTCR,ARE,CO2,Gg CO2 / yr,M.0.EL,3.06,3.08,3.09,3.11,3.12,3.14,3.15,3.17,3.18,3.2,3.22,3.23,3.25,3.26,3.28,3.3,3.31,3.33,3.34,3.36,3.38,3.39,3.41,3.43,3.44,3.46,3.48,3.49,3.51,3.53,3.54,3.56,3.58,3.6,3.62,3.63,3.65,3.67,3.69,3.7,3.72,3.74,3.76,3.78,3.8,3.82,3.83,3.85,3.87,3.89,3.91,3.93,3.95,3.97,3.99,4.01,4.03,4.04,4.06,4.08,4.1,4.12,4.15,4.17,4.19,4.21,4.23,4.25,4.27,4.29,4.31,4.34,4.36,4.38,4.4,4.42,4.45,4.47,4.49,4.51,4.54,4.56,4.58,4.6,4.63,4.65,4.67,4.7,4.72,4.74,4.77,4.79,4.82,4.84,4.87,4.89,4.91,4.94,4.96,4.99,5.01,5.04,5.06,5.09,5.12,5.14,5.17,5.19,5.22,5.24,5.27,5.27,5.28,5.29,5.29,5.3,5.3,5.31,5.31,5.32,5.32,5.33,5.33,5.34,5.34,5.35,5.35,5.36,5.37,5.37,5.38,5.38,5.39,5.39,5.4,5.4,5.41,5.41,5.42,5.43,5.43,5.44,5.44,5.45,5.45,5.46,5.46,5.47,5.47,5.48,5.49,5.49,5.5,5.5,5.51,5.51,5.52,5.52,5.53,5.54,5.54,5.58,5.63,5.67,5.71,5.76,5.8,5.84,5.89,5.93,5.97,6.02,6.07,6.11,6.16,6.21,6.25,6.3,6.35,6.39,6.44,6.49,6.54,6.59,6.38,6.16,5.93,5.71,5.47,5.24,5.0,4.76,4.51,4.26,4.01,3.75,3.49,3.22,2.95,2.68,2.4,2.05,1.8,1.57,1.32,1.03,0.702,0.357,0.0,9.84,9.85,9.87,16.5,19.8,16.5,19.9,23.2,796.0,1080.0,1100.0,17300.0,23800.0,26200.0,34200.0,34900.0,34500.0,43700.0,42000.0,48300.0,37100.0,37000.0,35100.0,34600.0,33200.0,44500.0,47000.0,43600.0,43400.0,43300.0,48600.0,47000.0,52700.0,53300.0,61000.0,67400.0,66400.0,69700.0,68600.0,75900.0,74300.0,106000.0,102000.0,91000.0,118000.0,130000.0,140000.0,141000.0,147000.0,164000.0,168000.0,154000.0,162000.0,199000.0,197000.0,191000.0,211000.0,203000.0,171000.0,170000.0,170000.0
